,Name,Address,Latitude,Longitude
0,London Bridge Hotel,"10-18 London Bridge Street, London, SE1 9, United Kingdom, London, England SE1 9, GBR",51.5052188,-0.088166
1,London Marriott Maida Vale,"NW6 5RP, London, England, United Kingdom, London, England NW6 5RP, GBR",51.5357597,-0.1902591
2,Grange White Hall Hotel,"9 Montague Street, London, WC1B 5, United Kingdom, London, England WC1B 5, GBR",51.5203469,-0.1260893
3,Staunton Hotel B B,"13-15 Gower Street, London, WC1E 6, United Kingdom, London, England WC1E 6, GBR",51.520378,-0.1303414
4,COMO The Halkin,"SW1X 8JS, London, England, United Kingdom, London, England SW1X 8JS, GBR",51.4988977,-0.1562015
5,DoubleTree by Hilton London Victoria,"SW1V 1QA, London, England, United Kingdom, London, England SW1V 1QA, GBR",51.49398,-0.143372
6,The Queens Gate Hotel,"34 Queen's Gate, London, SW7 2, United Kingdom, London, England SW7 2, GBR",51.4981225,-0.1799693
7,Park Avenue Baker Street,"173 Gloucester Place, London, NW1 6DX, United Kingdom, London, England NW1 6DX, GBR",51.5241452,-0.1609907
8,One Aldwych,"1 Aldwych, London, WC2R 0, United Kingdom, London, England WC2R 0, GBR",51.5117832,-0.1194172
9,Hotel Cafe Royal,"68 Regent Street, London, W1B 0DD, United Kingdom, London, England W1B 0DD, GBR",51.5100916,-0.1359431
10,The Chesterfield Mayfair,"34 Charles Street, London, W1J 5, United Kingdom, London, England W1J 5, GBR",51.5076899,-0.1471358
11,The London EDITION,"12 Berners Place, London, W1T 3NP, United Kingdom, London, England W1T 3NP, GBR",51.5167472,-0.135965
12,Georgian House Hotel,"37 St George's Drive, London, SW1V 4, United Kingdom, London, England SW1V 4, GBR",51.490724,-0.143868
13,Rosewood London,"WC1V 7EN, London, England, United Kingdom, London, England WC1V 7EN, GBR",51.5173303,-0.1180966
14,Thistle Hyde Park,"90-92 Lancaster Gate, London, W2 3, United Kingdom, London, England W2 3, GBR",51.5112451,-0.1808938
15,Hilton London Green Park,"W1J 7BN, London, England, United Kingdom, London, England W1J 7BN, GBR",51.5064534,-0.1456146
16,88 Studios,"86 Holland Road, London, W14 8BN, United Kingdom, London, England W14 8BN, GBR",51.4992789,-0.2090733
17,Grange Rochester Hotel,"69 Vincent Square, London, SW1P 1, United Kingdom, London, England SW1P 1, GBR",51.4942654,-0.1366026
18,ME London by Melia,"336-337 Strand, London, WC2R 1, United Kingdom, London, England WC2R 1, GBR",51.511879,-0.118552
19,Club Quarters Hotel St Paul s,"EC4M 7DR, London, England, United Kingdom, London, England EC4M 7DR, GBR",51.5139298,-0.101126
20,Club Quarters Hotel Gracechurch,"1 Corbet Court, London, EC3V 0DR, United Kingdom, London, England EC3V 0DR, GBR",51.5127964,-0.0847973
21,Ten Manchester Street Hotel,"10 Manchester Street, London, W1U 4DG, United Kingdom, London, England W1U 4DG, GBR",51.5188,-0.153839
22,The Kensington Hotel,"109-113 Queen's Gate, London, SW7 3, United Kingdom, London, England SW7 3, GBR",51.4925478,-0.1780611
23,Park International Hotel,"117 Cromwell Road, London, SW7 4DS, United Kingdom, London, England SW7 4DS, GBR",51.4945144,-0.1866172
24,The Connaught,"10 Mount Street, London, W1K 2, United Kingdom, London, England W1K 2, GBR",51.5101556,-0.1496314
25,The Chelsea Harbour Hotel,"Battersea Church Road, London, SW10 0, United Kingdom, London, England SW10 0, GBR",51.4756558,-0.1813888
26,The Academy,"21 Gower Street, London, WC1E 6, United Kingdom, London, England WC1E 6, GBR",51.5205441,-0.1308091
27,Holiday Inn London Bloomsbury,"54 Herbrand Street, London, WC1N 1HD, United Kingdom, London, England WC1N 1HD, GBR",51.5241248,-0.1258066
28,Lansbury Heritage Hotel,"117 Poplar High Street, London, E14 0AE, United Kingdom, London, England E14 0AE, GBR",51.5090985,-0.0157302
29,DoubleTree by Hilton Hotel London Marble Arch,"W1H 7BY, London, England, United Kingdom, London, England W1H 7BY, GBR",51.514573,-0.15666
30,Amba Hotel Charing Cross,"455 Strand, London, WC2N 4, United Kingdom, London, England WC2N 4, GBR",51.508236,-0.1261963
31,Hilton London Angel Islington,"17 Barford Street, London, N1 0QB, United Kingdom, London, England N1 0QB, GBR",51.5360906,-0.1048176
32,Shepherd s Bush Boutique Hotel,"202 Uxbridge Road, London, W12 7JP, United Kingdom, London, England W12 7JP, GBR",51.5054544,-0.2262216
33,Charlotte Street Hotel,"13 Charlotte Street, London, W1T 2, United Kingdom, London, England W1T 2, GBR",51.5184158,-0.1348509
34,Rafayel Hotel Spa,"34 Lombard Road, London, SW11 3RF, United Kingdom, London, England SW11 3RF, GBR",51.4703604,-0.1779869
35,Novotel London Tower Bridge,"10 Pepys Street, London, EC3N 2, United Kingdom, London, England EC3N 2, GBR",51.5106538,-0.0773676
36,The Montague On The Gardens,"14 Montague Street, London, WC1B 5, United Kingdom, London, England WC1B 5, GBR",51.520181,-0.1256957
37,The Lanesborough,"London, SW1X 7, United Kingdom, London, England SW1X 7, GBR",51.50303,-0.15242
38,Thistle Holborn The Kingsley,"15 Bloomsbury Way, London, WC1A 2, United Kingdom, London, England WC1A 2, GBR",51.5179659,-0.1234343
39,The Lodge Hotel Putney,"1 Upper Richmond Road, London, SW15 2, United Kingdom, London, England SW15 2, GBR",51.4572991,-0.2055425
40,Blakes Hotel,"31 Roland Gardens, London, SW7 3PF, United Kingdom, London, England SW7 3PF, GBR",51.4892447,-0.1803196
41,The Capital,"Rysbrack Street, London, SW3 1, United Kingdom, London, England SW3 1, GBR",51.4997486,-0.1615242
42,Durrants Hotel,"24 George Street, London, W1U 3QZ, United Kingdom, London, England W1U 3QZ, GBR",51.5179386,-0.1529794
43,Crowne Plaza London The City,"19 New Bridge Street, London, EC4V 6DB, United Kingdom, London, England EC4V 6DB, GBR",51.5122429,-0.1045036
44,Grange City Hotel,"Cooper's Row, London, EC3N 2, United Kingdom, London, England EC3N 2, GBR",51.5110114,-0.0771251
45,Great Northern Hotel A Tribute Portfolio Hotel London,"N1C 4QL, London, England, United Kingdom, London, England N1C 4QL, GBR",51.531427,-0.126133
46,Dukes Hotel,"30 St James's Place, London, SW1A 1NR, United Kingdom, London, England SW1A 1NR, GBR",51.5055381,-0.1396885
47,The Hari London,"20 Chesham Place, London, SW1X 8HQ, United Kingdom, London, England SW1X 8HQ, GBR",51.4973203,-0.1562558
48,Holiday Inn London Stratford City,"145 The Street, London, E20 1EH, United Kingdom, London, England E20 1EH, GBR",51.5426054,-0.0072708
49,Kensington House Hotel,"6 Prince of Wales Terrace, London, W8 5, United Kingdom, London, England W8 5, GBR",51.5012329,-0.1859937
50,Park Plaza London Riverbank,"SE1 7TJ, London, England, United Kingdom, London, England SE1 7TJ, GBR",51.4913737,-0.1214194
51,Eccleston Square Hotel,"37 Eccleston Square, London, SW1P 4, United Kingdom, London, England SW1P 4, GBR",51.4911924,-0.1449474
52,Rathbone,"30 Rathbone Street, London, W1T 1, United Kingdom, London, England W1T 1, GBR",51.5186801,-0.1354055
53,The Rockwell,"SW5 0SS, London, England, United Kingdom, London, England SW5 0SS, GBR",51.4948059,-0.1926525
54,Gainsborough Hotel,"11 Queensberry Place, London, SW7 2DW, United Kingdom, London, England SW7 2DW, GBR",51.4948416,-0.1772056
55,DoubleTree by Hilton London Chelsea,"Imperial Road, London, SW6 2, United Kingdom, London, England SW6 2, GBR",51.475172,-0.1870629
56,The Gore Hotel Starhotels Collezione,"SW7 5EX, London, England, United Kingdom, London, England SW7 5EX, GBR",51.5001979,-0.1795357
57,Novotel London Wembley,"23 Fulton Road, Wembley, HA9 0, United Kingdom, Wembley, England HA9 0, GBR",51.5611271,-0.2787261
58,Shaftesbury Suites London Marble Arch,"41 Great Cumberland Place, London, W1H 7DQ, United Kingdom, London, England W1H 7DQ, GBR",51.515755,-0.1603335
59,The Colonnade,"2 Warrington Crescent, London, W9 1, United Kingdom, London, England W9 1, GBR",51.5243286,-0.1846623
60,The Leonard Hotel,"13 Seymour Street, London, W1H 7, United Kingdom, London, England W1H 7, GBR",51.5147071,-0.1578291
61,Best Western PLUS Epping Forest,"28 Oak Hill, Woodford Green, IG8 9, United Kingdom, Woodford Green, England IG8 9, GBR",51.603207,0.010607
62,Pullman London St Pancras,"Ossulston Street, London, NW1 2, United Kingdom, London, England NW1 2, GBR",51.5286766,-0.1283489
