,Name,Address,Latitude,Longitude
100,Barcel Milan,"Via Cesare Musatti, 8, 20157 Milano MI, Italia, Milano, Lombardia 20157, ITA",45.51152,9.1241306
101,Brunelleschi Hotel,"Via Flavio Baracchini, 10, 20122 Milano MI, Italia, Milano, Lombardia 20122, ITA",45.461177,9.191047
102,Windsor Hotel Milano,"Viale Monte Santo, 6, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4794587,9.1951427
103,Hotel Cavour,"Via Fatebenefratelli, 21, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4726942,9.1943911
104,Hotel Clerici,"Via Clerici, 5, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4667717,9.1871001
105,The Yard Milano,"Piazza 24 Maggio, 8, 20123 Milano MI, Italia, Milano, Lombardia 20123, ITA",45.453152,9.179172
106,Starhotels Business Palace,"Via Carlo Boncompagni, 55/1, 20139 Milano MI, Italia, Milano, Lombardia 20139, ITA",45.43784,9.230901
107,Best Western Hotel Mirage,"Viale Certosa, 106, 20156 Milano MI, Italia, Milano, Lombardia 20156, ITA",45.4947129,9.1418864
108,NH Collection Milano President,"Largo Augusto, 10, 20122 Milano MI, Italia, Milano, Lombardia 20122, ITA",45.4630685,9.1979367
109,Hotel Auriga,"Galleria delle Carrozze, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4858877,9.2042827
110,Hotel Marconi,"Piazza 4 Novembre, 3, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4868744,9.2018407
111,Mokinba Hotels King,"20123 Milano MI, Italia, Milano, Lombardia 20123, ITA",45.4656023,9.1778675
112,Idea Hotel Milano San Siro,"Via Gaetano Airaghi, 127, 20019 Settimo Milanese MI, Italia, Settimo Milanese, Lombardia 20019, ITA",45.4720654,9.0777871
113,Bulgari Hotel Milano,"Via Fratelli Gabba, 7, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4701334,9.1897405
114,Grand Hotel et de Milan,"Via Alessandro Manzoni, 29, 20121 Milano MI, Italia, Milano, Lombardia 20121, ITA",45.4699058,9.1925024
115,Qualys Hotel Nasco,"Via Leon Battista Alberti, 20149 Milano MI, Italia, Milano, Lombardia 20149, ITA",45.4848809,9.1596461
116,Meli Milano,"Via Masaccio, 19, 20149 Milano MI, Italia, Milano, Lombardia 20149, ITA",45.4792738,9.1459546
117,Admiral Hotel,"Via Domodossola, 16, 20145 Milano MI, Italia, Milano, Lombardia 20145, ITA",45.480515,9.160063
118,Mokinba Hotels Baviera,"Via Panfilo Castaldi, 7, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA",45.4782808,9.1997755
119,Novotel Milano Linate Aeroporto,"Via Mecenate, 20138 Milano MI, Italia, Milano, Lombardia 20138, ITA",45.4481878,9.2570459
120,Radisson Blu Hotel Milan,"Via Villapizzone, 24, 20156 Milano MI, Italia, Milano, Lombardia 20156, ITA",45.500667,9.1445874
121,IH Hotels Milano Watt 13,"Via Giacomo Watt, 15, 20143 Milano MI, Italia, Milano, Lombardia 20143, ITA",45.443791,9.152947
