,Name,Address,Latitude,Longitude
400,Le Dokhan s a Tribute Portfolio Hotel,"117 Rue Lauriston, 75116 Paris, France, Paris, Île-de-France 75116, FRA",48.8663359,2.2867935
401,Holiday Inn Paris Notre Dame,"4 Rue Danton, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8528427,2.3422256
402,H tel Chaplain Paris Rive Gauche,"11 Rue Jules Chaplain, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8427564,2.3305636
403,H tel de Banville,"166 Boulevard Berthier, 75017 Paris, France, Paris, Île-de-France 75017, FRA",48.8864673,2.2948911
404,Le Burgundy Paris,"6 Passage Commun a/1, 75001 Paris, France, Paris, Île-de-France 75001, FRA",48.8680055,2.3260075
405,A La Villa Madame,"44 Rue Madame, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8488608,2.3315257
406,Waldorf Madeleine,"12 Boulevard Malesherbes, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8715828,2.3224853
407,Golden Tulip Bercy Gare de Lyon 209,"211 Rue de Charenton, 75012 Paris, France, Paris, Île-de-France 75012, FRA",48.8393229,2.3892274
408,Mandarin Oriental Paris,"253 Rue Saint-Honoré, 75001 Paris, France, Paris, Île-de-France 75001, FRA",48.8671889,2.326927
409,Francois 1er,"9 Rue Magellan, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8701887,2.2997281
410,Le Relais M dicis,"5 Place de l'Odéon, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8497618,2.3392336
411,Hotel Astra Opera Astotel,"29 Rue de Caumartin, 75009 Paris, France, Paris, Île-de-France 75009, FRA",48.8718321,2.3278866
412,Hotel d Orsay Esprit de France,"93 Rue de Lille, 75007 Paris, France, Paris, Île-de-France 75007, FRA",48.8603599,2.3230778
413,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,"22 Rue Danielle Casanova, 75002 Paris, France, Paris, Île-de-France 75002, FRA",48.8681455,2.3313064
414,Victoire Germain,"9 Rue Grégoire de Tours, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.853299,2.337993
415,H tel Amastan Paris,"34 Rue Jean Mermoz, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8716831,2.3123759
416,H tel La Comtesse by Elegancia,"1 Avenue Duquesne, 75007 Paris, France, Paris, Île-de-France 75007, FRA",48.853865,2.3072019
417,H tel Arvor Saint Georges,"8 Rue Laferrière, 75009 Paris, France, Paris, Île-de-France 75009, FRA",48.8785454,2.3384866
418,Villa d Estr es,"15 Rue Gît-le-Coeur, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8535089,2.3425787
419,Renaissance Paris Republique Hotel Spa,"40 Rue René Boulanger, 75010 Paris, France, Paris, Île-de-France 75010, FRA",48.8687804,2.3610196
