,Name,Address,Latitude,Longitude
100,Hotel Sacher Wien,"Philharmonikerstraße 4, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2038793,16.3698086
101,Austria Trend Hotel Park Royal Palace Vienna,"Schlossallee 8, 1140 Wien, Österreich, Wien, Wien 1140, AUT",48.191339,16.3165873
102,Small Luxury Hotel Altstadt Vienna,"Kirchengasse 41, 1070 Wien, Österreich, Wien, Wien 1070, AUT",48.2047761,16.3512515
103,Austria Trend Hotel Anatol Wien,"Webgasse 26, 1060 Wien, Österreich, Wien, Wien 1060, AUT",48.1945774,16.346356
104,Das Triest Hotel,"Wiedner Hauptstraße 12, 1040 Wien, Österreich, Wien, Wien 1040, AUT",48.1974036,16.3673003
105,Hotel J ger,"Hernalser Hauptstraße 187, 1170 Wien, Österreich, Wien, Wien 1170, AUT",48.2238463,16.3138357
106,Hotel Arkadenhof,"Viriotgasse 5, 1090 Wien, Österreich, Wien, Wien 1090, AUT",48.2307014,16.3552189
107,Boutiquehotel Das Tyrol,"Mariahilfer Straße 15, 1060 Wien, Österreich, Wien, Wien 1060, AUT",48.2008957,16.3592496
108,K K Palais Hotel,"Rudolfsplatz 11, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2138096,16.3714293
109,Hotel Sans Souci Wien,"Burggasse 2, 1070 Wien, Österreich, Wien, Wien 1070, AUT",48.204576,16.3563661
110,Hotel Johann Strauss,"Favoritenstraße 12, 1040 Wien, Österreich, Wien, Wien 1040, AUT",48.1949694,16.3692624
111,Suite Hotel 900 m zur Oper,"Wiedner Hauptstraße 44, 1040 Wien, Österreich, Wien, Wien 1040, AUT",48.1935235,16.3669145
112,Senator Hotel Vienna,"Hernalser Hauptstraße 105, 1170 Wien, Österreich, Wien, Wien 1170, AUT",48.2195864,16.3255339
113,Arthotel ANA Boutique Six,"Webgasse 23, 1060 Wien, Österreich, Wien, Wien 1060, AUT",48.1941905,16.3462578
114,Mercure Vienna First,"Desider-Friedmann-Platz 2, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2114567,16.3738677
115,Vienna Sporthotel,"Baumgasse 83, 1030 Wien, Österreich, Wien, Wien 1030, AUT",48.191373,16.4082294
116,Das Opernring Hotel,"Opernring 9, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2026449,16.3671054
117,Pertschy Palais Hotel,"Habsburgergasse 10a, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2082256,16.3684123
118,Hilton Vienna Plaza,"Wipplingerstraße 39, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2155236,16.3646858
119,Austria Trend Hotel Doppio Wien,"Rinnböckstraße, 1030 Wien, Österreich, Wien, Wien 1030, AUT",48.1854312,16.404884
120,The Ritz Carlton Vienna,"Schubertring 5, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2022742,16.3762615
121,Hotel Bellevue Wien,"Althanstraße 5, 1090 Wien, Österreich, Wien, Wien 1090, AUT",48.2264063,16.3600628
122,Grand Hotel Wien,"Kärntner Ring 9, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2021105,16.3720841
123,Exe Vienna,"Ottakringer Straße 34-36, 1170 Wien, Österreich, Wien, Wien 1170, AUT",48.2149414,16.3365285
124,Mercure Secession Wien,"Getreidemarkt 5, 1060 Wien, Österreich, Wien, Wien 1060, AUT",48.200561,16.3647063
125,Hotel Capricorno,"Schwedenplatz 3-4, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2111522,16.3788631
126,Hotel Bristol A Luxury Collection Hotel,"Kärntner Ring 1, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2024907,16.3702656
127,Grand Ferdinand Vienna Your Hotel In The City Center,"Schubertring 10-12, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2022415,16.3749336
128,Park Inn by Radisson Uno City Vienna,"Wagramer Straße 16, 1220 Wien, Österreich, Wien, Wien 1220, AUT",48.2340799,16.4210093
129,25hours Hotel beim MuseumsQuartier,"Museumstraße 9, 1070 Wien, Österreich, Wien, Wien 1070, AUT",48.2064745,16.3546297
130,Alma Boutique Hotel,"Franz-Josefs-Kai 15, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2112491,16.3776519
131,Hotel Parco di Sch nbrunn Vienna,"Ratschkygasse 32, 1120 Wien, Österreich, Wien, Wien 1120, AUT",48.1776236,16.3243588
132,Hotel Regina,"Rooseveltplatz 15, 1090 Wien, Österreich, Wien, Wien 1090, AUT",48.2163343,16.3595536
133,Hotel Erzherzog Rainer,"Wiedner Hauptstraße 27-29, 1040 Wien, Österreich, Wien, Wien 1040, AUT",48.1953229,16.3672882
134,Hotel Kaiserin Elisabeth,"Weihburggasse 3, 1010 Wien, Österreich, Wien, Wien 1010, AUT",48.2072348,16.372238
135,Hotel Am Konzerthaus Vienna MGallery by Sofitel,"Lisztstraße 6-8, 1030 Wien, Österreich, Wien, Wien 1030, AUT",48.1996129,16.3773546
