,Name,Address,Latitude,Longitude
700,Novotel Paris Les Halles,"Voirie Souterraine des Halles, 75001 Paris, France, Paris, Île-de-France 75001, FRA",48.8607299,2.3465326
701,Warwick Paris Former Warwick Champs Elysees,"5 Rue de Berri, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8722019,2.3030866
702,Chambiges Elys es,"8 Rue Chambiges, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8668048,2.3039465
703,Best Western S vres Montparnasse,"153 Rue de Vaugirard, 75015 Paris, France, Paris, Île-de-France 75015, FRA",48.843707,2.3155631
704,Hotel Trianon Rive Gauche,"1B Rue de Vaugirard, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8487675,2.3410376
705,Royal Saint Honore,"223 Rue Saint-Honoré, 75001 Paris, France, Paris, Île-de-France 75001, FRA",48.8658792,2.3298903
706,Le Relais Montmartre,"6 Rue Constance, 75018 Paris, France, Paris, Île-de-France 75018, FRA",48.8854538,2.3335809
707,H tel F licien by Elegancia,"21 Rue Félicien David, 75016 Paris, France, Paris, Île-de-France 75016, FRA",48.8493082,2.2743626
708,Okko Hotels Paris Porte De Versailles,"Rue Louis Armand, 75015 Paris, France, Paris, Île-de-France 75015, FRA",48.8327729,2.2787597
709,H tel des Academies et des Arts,"15 Rue de la Grande-Chaumière, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8420669,2.3304091
710,Platine Hotel Spa,"20 Rue de l'Ingénieur Robert Keller, 75015 Paris, France, Paris, Île-de-France 75015, FRA",48.8473459,2.2832408
711,Arioso,"7 Rue d'Argenson, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8746066,2.3167195
712,Melia Paris Champs Elys es,"102 Avenue Victor Hugo, 75116 Paris, France, Paris, Île-de-France 75116, FRA",48.8688962,2.2827459
713,Novotel Paris Centre Bercy,"75012 Paris, France, Paris, Île-de-France 75012, FRA",48.8384558,2.3805885
714,Best Western Op ra Batignolles,"84 Rue Dulong, 75017 Paris, France, Paris, Île-de-France 75017, FRA",48.8870573,2.3143297
715,H tel Westminster,"13 Rue de la Paix, 75002 Paris, France, Paris, Île-de-France 75002, FRA",48.8693409,2.3310263
716,Hotel Eiffel Blomet,"78 Rue Blomet, 75015 Paris, France, Paris, Île-de-France 75015, FRA",48.8416787,2.3022862
717,Hotel Le Placide Saint Germain Des Pr s,"8 Rue Saint-Placide, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8498439,2.3244253
718,Hotel OFF Paris Seine,"Lotissement Les Bosquets, 75013 Paris, France, Paris, Île-de-France 75013, FRA",48.8427364,2.3672171
719,Villa Opera Drouot,"2 Rue Geoffroy Marie, 75009 Paris, France, Paris, Île-de-France 75009, FRA",48.8732231,2.3436097
720,Legend Saint Germain by Elegancia,"151 Rue de Rennes, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8453774,2.3256427
721,Holiday Inn Paris Saint Germain des Pr s,"42 Rue de l'Abbé Grégoire, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.846837,2.3258066
722,COQ Hotel Paris,"15 Rue Édouard Manet, 75013 Paris, France, Paris, Île-de-France 75013, FRA",48.8328764,2.3572531
723,Hotel Malte Astotel,"63 Rue de Richelieu, 75002 Paris, France, Paris, Île-de-France 75002, FRA",48.8672474,2.33738
724,Castille Paris Starhotels Collezione,"33 Rue Cambon, 75001 Paris, France, Paris, Île-de-France 75001, FRA",48.8682978,2.3268027
725,H tel Bedford,"17 Rue de l'Arcade, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8720593,2.3236802
726,Hotel Plaza Elys es,"167 Rue du Faubourg Saint-Honoré, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8746128,2.3056956
727,Suites H tel Helzear Montparnasse,"40 Rue Liancourt, 75014 Paris, France, Paris, Île-de-France 75014, FRA",48.8346811,2.3255098
728,H tel Th r se,"6 Rue Gustave Flaubert, 75017 Paris, France, Paris, Île-de-France 75017, FRA",48.8816306,2.2992146
729,Buddha Bar Hotel Paris,"6 Rue d'Anjou, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8694695,2.3208564
730,H tel San R gis,"12 Rue Jean Goujon, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8665788,2.3084447
731,Hotel Scribe Paris Opera by Sofitel,"14 Boulevard des Capucines, 75009 Paris, France, Paris, Île-de-France 75009, FRA",48.8704175,2.3296832
732,Le Dokhan s a Tribute Portfolio Hotel,"117 Rue Lauriston, 75116 Paris, France, Paris, Île-de-France 75116, FRA",48.8663359,2.2867935
733,Holiday Inn Paris Notre Dame,"4 Rue Danton, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8528427,2.3422256
734,H tel Chaplain Paris Rive Gauche,"11 Rue Jules Chaplain, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8427564,2.3305636
735,H tel de Banville,"166 Boulevard Berthier, 75017 Paris, France, Paris, Île-de-France 75017, FRA",48.8864673,2.2948911
736,Le Burgundy Paris,"6 Passage Commun a/1, 75001 Paris, France, Paris, Île-de-France 75001, FRA",48.8680055,2.3260075
737,A La Villa Madame,"44 Rue Madame, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8488608,2.3315257
738,Waldorf Madeleine,"12 Boulevard Malesherbes, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8715828,2.3224853
739,Golden Tulip Bercy Gare de Lyon 209,"211 Rue de Charenton, 75012 Paris, France, Paris, Île-de-France 75012, FRA",48.8393229,2.3892274
740,Mandarin Oriental Paris,"253 Rue Saint-Honoré, 75001 Paris, France, Paris, Île-de-France 75001, FRA",48.8671889,2.326927
741,Francois 1er,"9 Rue Magellan, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8701887,2.2997281
742,Le Relais M dicis,"5 Place de l'Odéon, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8497618,2.3392336
743,Hotel Astra Opera Astotel,"29 Rue de Caumartin, 75009 Paris, France, Paris, Île-de-France 75009, FRA",48.8718321,2.3278866
744,Hotel d Orsay Esprit de France,"93 Rue de Lille, 75007 Paris, France, Paris, Île-de-France 75007, FRA",48.8603599,2.3230778
745,Hotel Stendhal Place Vend me Paris MGallery by Sofitel,"22 Rue Danielle Casanova, 75002 Paris, France, Paris, Île-de-France 75002, FRA",48.8681455,2.3313064
746,Victoire Germain,"9 Rue Grégoire de Tours, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.853299,2.337993
747,H tel Amastan Paris,"34 Rue Jean Mermoz, 75008 Paris, France, Paris, Île-de-France 75008, FRA",48.8716831,2.3123759
748,H tel La Comtesse by Elegancia,"1 Avenue Duquesne, 75007 Paris, France, Paris, Île-de-France 75007, FRA",48.853865,2.3072019
749,H tel Arvor Saint Georges,"8 Rue Laferrière, 75009 Paris, France, Paris, Île-de-France 75009, FRA",48.8785454,2.3384866
750,Villa d Estr es,"15 Rue Gît-le-Coeur, 75006 Paris, France, Paris, Île-de-France 75006, FRA",48.8535089,2.3425787
751,Renaissance Paris Republique Hotel Spa,"40 Rue René Boulanger, 75010 Paris, France, Paris, Île-de-France 75010, FRA",48.8687804,2.3610196
752,London Bridge Hotel,"10-18 London Bridge Street, London, SE1 9, United Kingdom, London, England SE1 9, GBR",51.5052188,-0.088166
753,London Marriott Maida Vale,"NW6 5RP, London, England, United Kingdom, London, England NW6 5RP, GBR",51.5357597,-0.1902591
754,Grange White Hall Hotel,"9 Montague Street, London, WC1B 5, United Kingdom, London, England WC1B 5, GBR",51.5203469,-0.1260893
755,Staunton Hotel B B,"13-15 Gower Street, London, WC1E 6, United Kingdom, London, England WC1E 6, GBR",51.520378,-0.1303414
756,COMO The Halkin,"SW1X 8JS, London, England, United Kingdom, London, England SW1X 8JS, GBR",51.4988977,-0.1562015
757,DoubleTree by Hilton London Victoria,"SW1V 1QA, London, England, United Kingdom, London, England SW1V 1QA, GBR",51.49398,-0.143372
758,The Queens Gate Hotel,"34 Queen's Gate, London, SW7 2, United Kingdom, London, England SW7 2, GBR",51.4981225,-0.1799693
759,Park Avenue Baker Street,"173 Gloucester Place, London, NW1 6DX, United Kingdom, London, England NW1 6DX, GBR",51.5241452,-0.1609907
